en,ja
"- 10 minutes, people!",- 10分だぞ！
Whether she went to Attlee or not.,アトリーの元に行こうと行くまいとな
"Just look at the fireplace. It's got the ""wow"" factor.",暖炉を見て下さい 素晴らしい出来です
And was at a distance of two bow lengths or nearer.,凡そ弓2つ，いやそれよりも近い距離であったか。た。
The fuck?,はっ？
We need a proper infrastructure.,販売基盤を整えなくては
"Once I had served the sorcerer's purpose, he threw me out of his house to die.",魔術師の目的が済むと 私は投げ捨てられた
No...you can't be here!,ダメよ、ここには入れないわ！
Strange buddies!,変な友人を持ったものだ
"Fuck you, I can still make it.",今なら間に合う
"Straighten, straighten, straighten!",そのまま、そのまま！
Your friend here...,お友達は...
He's dead. Died in the war.,戦死です
What kind of people put their kid in an oven?,誰が自分の娘をオーブンで 焼こうとするだろうか？
Has seen a man in a skull mask.,ドクロマスクの男を見てない
Come on,こい
My thoughts kept running back to Daniel.,ダニエル叔父さんの事考えて
The VPD is cooperating to id students at high risk of seditious activity.,治安妨害学生の特定と
"""How can I lose?"" answered Satan. ""All the umpires are down here in Hell.""",魔王は言った。「俺が負けるわっきゃねーべ。審判は皆地獄にいるのだ」。
I'm done with work today.,いい 今日の仕事は終わった
"Last but not least, please make full use of this FAQ. Read this FAQ (and other relevant documentation) well before asking questions on the various & kde; mailing lists or newsgroups.",最後ではあるけれども重要な点として、是非、この FAQ.をフル活用してください。様々なkde;のメーリングリストやニュースグループに質問をする前に、この FAQ.をよく読んでください。
"If locale is zero or ""0"", the locale setting is not affected, only the current setting is returned.",LC_MONETARY localeconv() 用 - PHP では現在未実装
- We got nothing to put him with Justin.,あの夜　奴とジャスティンを結びつけるものは 何も得られなかった 自白が必要ね
"If I'd known you was for sale, I would've bought you sooner.",もしパリスが売られてたら、俺は即効 買ってただろうに･･･
"Okay, uh...",わかったよ...
Why the hell did you do that?,これがどういうことか教えてやろう
She disappeared from a gas station rest stop about an hour ago.,１時間ほど前 スタンドで
"Yeah, I imagine I would, too.",私も嫌いになるだろうな
"And it's my first time going to the Video Music Awards and all the other girls are gonna be skinny, and I'm gonna look like a whale!",初めて参加するパーティなのに 他の女の子達は痩せてて 私はまるで　クジラだわ
Those are the best odds I've had in years.,今までで最高の確率だ
Even if it is just in the sim.,たとえそれが シミュレーションだとしても
But we'll need some way to orientate in here.,ここで適応の仕方を 覚える必要がある...
"and i guess one of these dogs clamped its jaws on her forearm, and wouldnt let go untill a fireman showed up and had to stick a finger in its ass",その内の一匹が腕を噛んで 離さず 消防士が尻に指を─ 突っ込んで離しました
"What's going on here, guys?",何の用だ？ 君等
Shane's the best instructor I know.,シェーンは銃の使い方を―
"This goes to Miskolc and from Uszu to the two old girls, who says all is well in England.",ジュシさんより ミシュコルツの ２人のお嬢さんへ 「英国で元気にやっています」
I saw him scolded by his mother.,私は彼がお母さんに叱られるのを見た。
"Well, the D.A. is calling it a prisoner escape.",検事は囚人が逃亡したと 思ってる
has passed me over for promotions?,昇進のチャンスを逃した
"- Well, this entire ceremony was his idea.",この式典は父の考えです
What was that? No no o..,- どうした？
I've seen them broken in all kinds of hideous and offhanded ways but never like this.,だがこんな壊れ方は 初めて見た
- I was at your father's funeral. - Uh-huh. Mm-hm.,君の父親の葬式に出ていた
We have a special guest with us today.,スペシャルゲストということで
The great fish eat the small.,大魚は小魚を食う。
What's all this on the cast?,このキャストは何？
"I'm just saying, you know? It's not very Christian.",それじゃあ こいつも 成仏できない
"Don't worry, jack. You're about to find out.",心配するな、すぐに分かるさ
That's what this Arkham thing is gonna change.,アーカムの件も変化する
- I've seen it. - Get in the fucking' car and start driving.,出て行け
"Behold Aragorn, son of Arathorn,",見よ アラゴルンを アラソルンの子
I'm back.,ただいま
"No, they just stepped out. It's just me and my brother here.",いいえ　出かけてます 今は私と弟だけです
The day the dome came down... we both started having seizures.,ドームが来た日から 二人とも発作が始まったんだ
"You'll thank me later. What good's saving the world, Harry, if we can't enjoy it?",後で私に感謝する それを楽しめないなら　ハリー 世界を救う事に何のメリットがあるの？
I have to go.,それじゃあ...
You were one of them.,君は　そのうちの１人だ
Go back!,戻って！
"This is it. Excellent work, Megumi",成功だ よく やった 恵
I work out.,鍛えてるの
"""If you're there and want to help put that bird back in a cage, let me know.",手伝うことができれば、 連絡ください
How's sofia doing?,ソフィアは、どう？
"""When one is born from the last?""",人は前世より生まれてくる
There are some very powerful people that want me out of here.,有力な地位にある人が 俺を脱獄させたいと思ってる。
"You're some kind of doctor, aren't you?",仮にも医者だというのに
Did you arrest them?,逮捕したか？
Keep working.,続けろ
- Pop.,-父さん
Get up.,さあ立って
And apparently he's got ca... ca... ca...,どうやら　彼はその...
-This is conjecture. -This is conjecture?,考えすぎだ
Cats like playing in the sun.,猫は日なたで遊ぶのが好きだ。
Ever been to the Space Needle?,シアトルタワーに行った？
Bond Labels:,結合ラベル:
Oh. Sorry.,おぅ悪かったよ
Who is it?,誰がこれを？
The D.A. from your county seems to agree with you.,郡の検察官は　君の話に同意してるようだ
And I believe that my condition would make them indulgent once and for all...,私の健康状態を理由に 相手が折れさえすれば
The name's Rex.,名前はレックスだ
"- We need rules, we need a leader.",規則も必要 指導者も必要なんだ
Show them this and tell them to meet me at the black lake in a week.,これを彼等に見せろ... 黒水湖で後日会おうと 伝えてくれ
I love,I love
Now you can be just like them.,同じ様に 今からはなる
"I did the crime, I'm doing the time. Time isn't doing me.",それはどういう意味だ？
Who's here?,誰がだよ
"If it is interesting, any book will do.",おもしろければどんな本でもいいですよ。
"I might be deaf, but I see good.",耳は悪いが視力は良いんだ
"""Nation's Pride"" is starring you?","""祖国の誇り""に出演してるのね？"
O'Brien was a diabetic.,オブライエンは　糖尿病でした
Would you characterize yourself as an asshole?,あんたはクソ野郎よ
"Nazir's movements in green after a fallow yellow always creeping towards purple are methodical, meaningful momentous and monstrous.",アブのナジールの活動は緑 その前に黄色があれば 何時も紫に近付く
I can't tell much more until we get the remains back to the lab.,ラボに運ばないと 詳しいことは言えないわ
Did you have jobs out in the world?,仕事はしてたの？
The company?,会社の？
"Neither was King George, but one rises to the occasion.",ジョージ国王もそうだったけど 立派にやってのけた
"We are older, mom!",- もう大きい
"And I brought you back life, and she took it away again?",私が命を与えたのに 彼女がまた奪った
"Our friend here, on the other hand, who sent us to kill each other,",私たちの友人、もう一方で お互いを殺すために行かされた
They didn't come here to serve me.,彼らは俺の部下ではない
I have to go.,- 行かないと
"I'm ready to come home, baby.",俺は家に帰るよ
"I love you, Noah.",愛する、ノア
The price was absurdly high.,値段は話にならないほど高かった。
"And verily that is a mighty oath, if ye but knew!",それは本当に偉大な誓いである。もしあなたがたに分るならば，
You were my girl.,私の娘だったのに
So put the gun down..,銃を降ろせ
Go on back to your room.,部屋に戻ってなさい
"Oh, shut up, Spider! Jesus!",やめな　スパイダー
The north-south exponent must be greater than 0.001,north-south 指数は 0.001 より大きくなければなりません
Think this through clearly. T-Dog lost his life here.,考えるより明確だよ ティードッグはここで命を
♪ Life's a happy song when there's someone by your side,♪一緒に 歌ってくれる人がいれば
"That's the best news I heard all day. - Yeah! - Hear, hear!",今日１番のニュースだ
Copyright (C) 1999-2000 Takashi Iwai,Copyright (C) 1999-2000 Takashi Iwai
The bullet must have nicked his liver.,内部で出血してるの 弾が肝臓を傷つけてたんだわ
Good luck. -Don't do anything I wouldn't do.,幸運を バカをしないで
"Well, don't enjoy it too much.",それはあまり楽しめない
So how much?,それで・・ いくらなの？
Bressler's supposedly working on a new strain of corn.,bressler's supposedly working bresslerは推定上働いている on a new strain of corn とうもろこしの新しい張りに関し
That's all.,それだけだ
- There's nobody coming in.,- 誰も来ないさ
"- Oh, yeah?",全員ベルファストから着たのか？
I'd messed-- i knew I loved you.,"""愛してた""ような気が"
"Well, switching gears, uh...",仕切りなおしだ
- Quill.,お前が頼りだ
That gun you pulled the other day was a Jericho 941.,軍用拳銃を使ってるだろ？
"Recently, there are a lot of burglaries around here.",この辺りは近頃強盗がよくはいる。
Ha-ha-ha...,-ハ...
We'll get there.,場所についたら
You're making a mistake.,大きな間違いよ
"It's like, when life sucks, and you feel alone and empty.",そうだな、嫌なことがあった時 孤独で虚しさを感じるだろ
"Spot, watch this.",スポット　これ見て
I ran into the woods as fast as I could.,僕は森の中へと全力で走った
"And of His signs is this: He sendeth herald winds to make you taste His mercy, and that the ships may sail at His command, and that ye may seek his favour, and that haply ye may be thankful.",吉報の前触れとして風を送るのは，かれの印の一つである。あなたがたにかれの慈悲（降雨と肥次）を味わわせるためであり，またかれの御意志により舟を滑るように進ませ，またあなたがたは，かれの恩恵（海上貿易による利益）を求めるためである。あなたがたは必ず感謝するであろう。
"You seem anxious, Mr. Nettinger.",ネッティンジャーさん 何か心配事でも？
You could go out and see your friends more often.,もっとお友達と遊んでいいのよ
I picked the keys up from her at the caravan park.,ハウストレーラーの駐車場で 彼女から鍵を預かった
I'm sure he'll be as good as his word.,私は彼が約束を果たすだろうと確信している。
I'm dying.,死が迫ってる
Don't tell my mom you saw me.,会ったことは黙ってて
We don't need them anymore.,私たちはもう彼らを必要としない。
Thought he gave us the slip. Then we saw this.,彼は我々をまいてそれから これを見付けた
Drawing and quartering?,八つ裂きか？ 首吊りか？
It's already hunting.,狩りをしてる
Not hide behind a computer screen.,コンピューターの画面の後ろに 隠れない
And now all I can do is keep running.,今は逃げる事しか出来ない
OK.,（祐司） うん
I can'tjog. I have a weak hamstring.,I can't jog. I have a weak hamstring.
"Just imagine, after being granted the miracle of having my child returned to me...",驚くべき事が起きたのを想像してみて 息子が戻って来た...
"When she graduates, what do you want to look like?",彼女が卒業したとき どう見られたい？
"Call them by (the names of) their fathers: that is juster in the sight of Allah. But if ye know not their father's (names, call them) your Brothers in faith, or your maulas. But there is no blame on you if ye make a mistake therein: (what counts is) the intention of your hearts: and Allah is Oft-Returning, Most Merciful.",かれら（養子）の父（の姓）をもってかれらを呼ぺ。それがアッラーの御目に最も正しいのである。もしかれらの父（の姓）を知らないなら，信仰におけるあなたがたの兄弟，友ということにするがよい。あなたがたがそれに就いて誤ることがあっても，罪ではない。だがあなたがたの心に悪い意図のある場合は別である。アッラーは覚容にして慈悲深き御方であられる。
He's weird and why are we driving him around anyway?,気味悪い 何で車に乗せるの?
Cover me.,援護しろ
- Any more secrets you want to share?,他に隠してる事は
"Mr. Green, this is Michael Scofield.",グリーン様、 マイケル。 スコフィールドといいます。
Special Forces will extract you there. Repeat back to me.,特殊部隊がそこに救出に向かう 繰り返してくれ
You might even succeed where I have failed.,僕が解けなかった謎を君が解いてくれるかもしれない
So why wear a suit?,どうして着るんだ？
You guys can't come in here.,ふざけるなよ　親友
"Right now, our only chance of stopping this is finding dubaku and the cip device.",止めるにはデュバクとCIP装置を 見つけるしかありません
He shouted defiance at me.,彼は大声で私に挑戦した。
I don't want to live at this stupid bar... a pool table for a bed.,こんなバーに住みたくない... プールテーブルのベット
"Meat powder, actually.",肉 実は肉粉だ
"If this... egg thing really is the generator of the dome like I've heard, you keeping it squirreled away is a very serious offense:",もし 聞いてる通り この卵が本当にドームの エネルギー源なら
"Oh, still here.",あそこよ
"G.P.S. and audio, on all seven Red John suspects.",レッド・ジョンの容疑者７人全員に GPSと盗聴装置をつけました
"Witnesses say six shots were fired outside, so one of the shooters must've been using a revolver.",目撃者の話では 外で発射されたのは６発 強盗の１人は　リボルバーを 使っていたに違いありません
"And when We divided for you the sea and delivered you, and drowned Pharaoh's folk while you were beholding.",またわれがあなたがたのために海を分けて，あなたがたを救い，あなたがたが見ている前で，フィルアウンの一族を溺れさせた時のことを思い起せ。
That's the job.,それが仕事
"Or before that, when you're lying there thinking about your feet hitting the floor.",それかその前に 横になっている時 足を床に 着けるのを考える
"- Back her up. Someday, Jennifer.",いつかやってみせるぞ
Sure.,- いいわよ
Gone.,なくなった
Was he married?,かみさんは？
"So after Sophia, I, uh...",ソフィアの後...
We've searched every foot between here and the Rio Hondo outlet.,ここから川への流入口まで くまなく探しました
- That place is magical.,あそこは魅力的な町だった・・
Lucas Lee.,ルーカス･リー
- Just a... when.,- もう十分よ
The list of installed vocabularies.,既にインストールされている語彙の一覧です。
Did I call for you?,君を呼んだかな？
I made breakfast.,朝食を作った
Makonde,zimbabwe_districts.kgm
"- It was her, wasn't it?",彼女だろ
"At night, I'd lay awake watching him.","夜には, 寝ないであの子を見守ってた."
"-Now, sugarplum... -I want that one! Please, please, please, please!",あれがいいの　お願い　お願い！
Toddy told me he was obsessed with J-Cub.,ジェイ・コブに入れあげてたらしいわ
My home. I thought you might enjoy if I cooked for you.,私の料理を 楽しめるかと
That is the grip.,これが握りだ
It's not the same for Ryan and Lucy.,ライアンや ルーシーとは違う
Sure. Okay.,ふーん　わかった
Bring 'em in?,- 連行を？ - いや
Burgers'll be right up.,ハンバーガーはすぐに出来上がるよ。
"Now, pay attention.",ちゃんと聞くのよ。
Hey.,おい
Force majeure is not covered by our protection.,不可抗力は俺達の対象外だ
Please tell us so we'll understand,Please tell us so we'll understand
Aragon,アラゴン州spain.kgm
I think I should cancel my flight.,出張はやめる
It's not just us. Every field office has been hit.,我々だけじゃない すべての地域のオフィスが攻撃された
It's beautiful room.,すばらしい
I'm not saying anything to you till I talk to a lawyer.,弁護士と話すまで 何もしゃべりません
"And the earth shall beam with the light of its Lord, and the Book shall be laid down, and the prophets and the witnesses shall be brought up, and judgment shall be given between them with justice, and they shall not be dealt with unjustly.",その時大地は主の御光で輝き，（行いの）記録が置かれ，預言者たちと証人たちが進み出て，公正な判決がかれらの間に宣告され，（少しも）不当な扱いはされない。
Jean-Pierre.,ジャン -ピエール！
"I've had enough jokes for one evening. Good night, future boy!",冗談はもう十分だ おやすみ
Marcel knows that Niklaus lied about where he lives.,マルセルに気づかれました ニクラウスの 滞在場所のことです
I thought Avery told you to ditch her.,彼女と別れるように 言われたんでしょ
"- Stoffer, go to the back now!",- ストッファー　すぐに戻るんだ！
The park sent her so that you will finally have something to give a shit about.,お前の関心を引くために 運営側が彼女を送った
Go! Wait!,待って！
Do you know what it's like to have a friend?,友達って分かる？
"Oh, thank you.",ああ、ありがとう。
Perhaps the killer held her down and watched her die.,犯人が押さえてたんだ
- That what they call dancing now? - I'm not sure.,‐あれがダンスかよ ‐どうかな
Really think this through.,-PROfs18fr270} 時間をかけて 入念に方法を考える
You sure?,本気ですか？
"Well, that's legitimately disappointing.",でもそれ... 合法的だし
BELLICK:,もうちょっと、
That tiger blood will lubricate it.,虎の血液が潤滑油になる
woman:,女:
"He risked his life coming here, and you paid him back by scrambling his neurons.",命をかけてここに来たのに 神経を混乱させるお礼をするとはな
"Yes, I heard about your miracle hand.",ああ、あんたの手の事も聞いたぞ？
"Well, I knew the Red Team's plan, and I told him that.",僕がレッド・チームの作戦を知ってて それを彼に話した
Mr. Jane!,- はい ジェーンさん！
"Tweets, ""Friends are"" pages, angler messages... they never go away.",ツイート　「友人」のページ アングラーメッセージ... 彼らは決して逃げない
How long? _ Ask Jason for help if you need it.,どのくらい？ 必要ならジェイソンに 手伝ってくれるか聞いて
Be on your guard against running into debt.,借金をしないように気をつけなさい。
You're not at all like I remember you.,アンタまるで別人だ
You said you'd be ready by the time they got home.,帰宅に間に合わせるって言ったわ
Have you heard from Sebastian?,"""セバスチャンから連絡があったか？"
"I just looked at the news, and... I, I I think I'm in shock, I",ニュース映像見て 大ショックなんだから
"Cass, did you know the angel in that video?",キャス　あのビデオの 天使は知ってたか？
Koba said we're too loyal to your father.,コバが 自分の身を守れ！
Built to evoke the body of the ideal woman.,体を呼び起こすために構築 理想の女の。
All we need is for you to testify.,私たちとしては　あなたに証言して欲しいんだけど
Be prepared for anything.,武器も用意しろ
Did you get the package I sent you?,お送りした小包、受け取りましたか。
Festival or no festival.,祭りなどどうでもいい
He's right. Clark has a point.,クラークは正しい
Just promise me it'll be the perfect place.,約束して 完璧な場所にするって
"MAN: We appreciate it, ma'am.",ありがとう 母さん
That's enough.,もうたくさんだ
"Adèle, it's me",俺だよ
This is his home.,ここが住まいね
"I cannot tell, cos I'm just living the situation.",始めたばっかりだから まだわからないんだ
Everyone!,聞いてくれ！
Come here.,- はい 来い
"Hey, Kid.",よう　キッド！
The color of the keyboard input block indicator overlay.,@label
Did something happen?,何かあった？
"And it's stretching them thin, which is maybe the point.",彼らも広く展開してる そこが狙いかも
"Hey, I finally got the results on the name check you asked for on Jacobim Mugatu.",君に言われたジャコビン・ムガトゥ の名前の調査がやっと終わったよ
"He has let free the two bodies of flowing water, meeting together:",かれは2つの海を一緒に合流させられる。
You should take a step back.,君は　引き下がったほうがいい
Not even close.,- 普通には程遠い
"Where are we going to get the money from, man?",そんな金ないよ
Red!,レッド　やっぱり出番よ
"Uh, I have! There's nothing, Booth.",今はまだ何もないわ
Some people derive pleasure from watching horror movies.,ホラー映画を見ることに楽しみを見いだす人もいる。
"Get along, little dogies Get along",子牛と　仲良く
"\ p, li {white-space: pre-wrap;}\ Select if you want the wind speed to be shown. The wind speed will only be shown if it is available for the particular station.",地図で使用するデフォルトのフォントを指定します
Shouldn't I go up on the...,- 上の方から...
That would be a start.,それは始まりにしかならない
You should act on your teacher's advice.,先生の忠告に従って行動したほうがよい。
But I know you.,私はあなたを知ってる
"Well, it's helpful, I'll give you that.",そりゃ役立つな お前にやるよ
Why aren't you mad at him?,私は許せないわ
Have you made it?,（永井）作ったの？
That didn't sound good.,今のは良い音じゃなかった
* %1 has left the game,* %1がゲームから去りました
You're saying it's 'cause of me that those creatures took them?,俺のせいだって言うのか あれが皆をさらったのが？
Dr. Fuentes? I hear you have,フエンテス博士　何か私に
"What do you want, hmm?",何をして欲しいのかな？
You seem really sure of that.,ずいぶん自信があるようだ
"Fear not, Princess.",怖れることはない、姫よ
"Little trouble picking this lock, Mr. Reese. It's not as easy as it looks.",開錠に手間取ってる 思ったより手ごわい
"Thought it would be more colorful, less regular, I guess.",もっと華やかだし正社員だし
The best of the best!,男の中の男だ！
- Just wouldn't happen.,ありえない
"Hey, hey-'",ヘイ　ヘイ・・
"You expect us to lock up our end, huh?",大変なことになるぞ
You were outside doing the driving.,お前が運転してたな
"Well, some hurts only show on the inside.",内面的な傷も有りますから
One. Two.,1・・2・・
Let's get out of here.,帰るか
She...,彼女は...
"Bigger. Yeah, big... big...",そんなでもなかったかな？
Grieving parents at 12:00.,１２時だ　悲しみのご両親がみえたよ
Thousands are massacred.,何千人と虐殺された
He's briefing dornan's group.,ドーナンの班に状況説明中よ
Promise.,約束だからね
- I just wanna talk.,- 話を
I wanna sell it and get the hell out of this godforsaken town.,売りたいんだ この人里離れた町の − クソ野郎を追い出す
I hear that his father is in another country.,彼のお父さんは外国にいるそうだ。
"No fucking way, you motherfucker!",ありえねえ このクソったれ！
"The further we get away from the humans, the better.",人間から逃げたほうが良い
Oh no! He shot the monkey!,チクショー あいつサルを撃ちやがった
"Bridge, captain, full left rudder.",艦長だ 取舵いっぱい 2
- Hey! Look at you!,- あら！
Jesus.,何だ
"I'm sorry, I didn't think that you knew.",あなたは知らないと思っていた
That will allow Matthew and I time to speak.,ケロッグを許そう 話は以上だ
- You knew her when she was alive?,彼女は知り合いだったのか？
Don't shoot!,撃つな！
mcve_void,例 1MD5ダイジェストとhmacを計算し、16進数で出力する
Where are you? I just left my place.,まだ家だ
No. I care.,僕は嫌だ
Excuse me?,え？
"Look, they got matching bracelets.",ルック、それらが一致するブレスレットを得ました。
That's nice.,いいモットね
Is that blood on your shirt?,シャツに血が
"Well, our data can't tell us what it was like to be inside that event, and he can.",私達だけではあのデータは 証明できない
I should've served the warrant.,そうすればスイーツも...
"That would put the second star in Turtle Bay, somewhere near the U.N;",タートルベイの２番目の星で 国連本部に近い ３番目の星は　コロンバスサークルだ
"I believe it's ""like a sailor.""",海軍の船員ですか？
No.,いいえ
You're not a famous actor?,一流役者がなによ？
"The last one, Ryan Nichols.",最後にライアン ニコルズ
"(c) 1998-2000, Matthias Kiefer (c) 2005, Benjamin Meyer (c) 2008-2009, Stas Verberkt Parts of the algorithms for the computer player are from xtron-1.1 by Rhett D. Jacobs < rhett\@hotel\.canberra\.edu\.au >","(c) 1998-2000, Matthias Kiefer (c) 2005, Benjamin Meyer (c) 2008-2009, Stas Verberkt コンピュータプレイヤーのアルゴリズムの一部は Rhett D. Jacobs < rhett\@hotel\.canberra\.edu\.au > の xtron-1.1 より"
Whoever left their doors unlatched,♪　ドアに　鍵をかけ忘れれば　誰でも　♪
"it wasn't my fault, right?",私の失敗ではないの
"If You leave them, they will mislead your servants, and will breed only wicked unbelievers.",もしあなたがかれらを残されれば，かれらは必ずあなたに仕える者を迷わせ，また罪を犯す不信心な者の外，生まないでしょう。
Lomis made it impossible to recover any data off that thing.,ロミスはデータの回復を 不可能にした
There are a thousand lawyers in Starling City.,スターリング市には 1000人の弁護士がいる
Bobby!,ボビー
- He almost did.,そのチャンスを
An army of two.,２人の軍隊
Her insistence was right. She did not need to feel ashamed.,彼女の主張は正しかった。彼女が肩身の狭い思いをする必要などなかったのだ。
Handle him better.,単純な男ですよ
"Walter, please.",ウォルター
- Yes!,- やった！
"Dad, that is hardly the point.",親父 それが要点じゃないんだ
"You get the point, if you can't prove it's bin Laden, at least prove it's not someone else.",ビンラディンだと証明できないなら... 他の誰でもないとの証明が必要だ
I need an extra blanket.,予備の毛布をください。
Have you seen the bird?,鳥を見たか？
Bricks can't be made without straw.,藁なしで煉瓦はできない。
My family?,俺の家族?
Come on.,頼むよ...
Who'll write the next sentence?,誰が次の文を書く?
What was that?,一体どうして？
"Come on, it's fun.",頼むよ、さあ
"Hello, Louise.",- こんにちは　ルイーズ
in a Book protected (from tampering),（それは）秘蔵の啓典の中に（書かれてあり），
!,！
"I want a civilian case, filed with the DA's Office, with the guarantee that I won't be prosecuted for terrorism.",それなら 民事司法に基づく裁判を テロとして扱わないと約束しろ
Adamstown,アダムスタウンoceania.kgm
I don't need anyone!,彼はすべてよ
The last piece of evidence for a 23-year-old double murder.,23年の二人の殺人事件の 最後の手がかり
-But the things he says-- -...about the way they feel.,妹って言ってました... （ﾄﾘﾝﾄﾞﾙ）お互い気持ちのこともあるし
"Some of the stuff I can't get, some I can.",中には調達出来ない物もある
"Well, let's go, this area isn't safe",まあ ちょいと行きましょう この辺りは危ねえから　ほら
"He showed his gratitude for the favours of Allah, who chose him, and guided him to a Straight Way.",かれは主の恩恵を感謝する。かれがかれを選び正しい道に御導きになられた。
What else did he tell you?,ほかに何を聞いた？
What are you drinking?,何を飲んでる？
- I'm a paralegal.,- 私は一度も経験無いけど
I'm still pregnant. I've been pregnant for the last 15 months.,15ヵ月間も妊娠したままなの
"- What are you,a man or a mouse?",- それでも君は男か？ それともネズミか？
– I'll do it. – You won't pull that trigger.,撃つぞ 出来るものか
- My harpsichord needs new strings. It's making an awful noise.,私のチェンバロが 酷い音でね
"If I wanted to leave, is there a place I could do it without being seen?",見られずに外出する方法は？
I've finished all the work for today.,これで今日の仕事は全部終わった。
There was one thing that was more powerful than anything anyone had ever seen.,誰も見た事のない程の 影響力のある物が１つありました
mm²,mm²unit description in lists
"Mr. Fabulous, how marvelous it is to see you.",ミスター・ファビュラス 君に会えてよかったよ
You can't keep trying to protect me.,あなたは 私を保護することを続けられない
"Antisocial, underachiever... he's viable, but he doesn't have the intelligence",反社会性で　達成不全者・・・ 彼は実行可能な人物だ だが　彼には
Rosalind mentioned that Dumar was a heavy smoker who was trying to quit.,- 動くな ロザリンドが言ってた デュマールは　ヘビースモーカーで 禁煙しようとしてたと
"There, the (only) protection comes from Allah, the True One. He is the Best to reward, and the Best to give success.",こんな時，救いは真の主アッラーに（だけ）属する。かれは最も優れた報奨の与え手であり，最も優れた結果の与え手である。
"Oh, no.",いいや
I thought you said you hated that sweater.,そのセーターは嫌いだろう？
Those girls are whores of war.,それらの女の子は戦争の売春婦である。 それが起こる。
What were you gonna gain by killing them?,あなたは何だったの？ それらを殺すことによって得るつもり？
"He said, ""die-die.""","""死ね死ね""って言った？"
"But as for him who is given his book in his left hand, he shall say, 'Would that I had not been given my book",だが左手にその（行状）記を渡される者は言う。「ああ，わたしの（行状）記が渡さオになかったならば」
Chapter 1,第1章
Starting to look suspicious.,疑われ始めてる
Do you know my mother?,母の知り合いの方?
That's what this is about?,どういうことだよ？
You wanna... You wanna stay in the tower?,牢にいたいか？
"Ren, please.",レン、やめて
"Is that how you spell ""travesty""? - Yeah.",「滑稽」ってこんな綴りだっけ？
"His personnel file, it would have to have an address.",社員ファイルに 住所が載ってるはずだ
So that's how it is.,その手に乗るか！
I'm thinking of looking over near Macon.,メコンの近くに いるんじゃないかと
"Hi, uh, Christina, this is Judge Gates.",クリスティーナか？ ゲイツだ
We're under attack. It's the rest of the Dirty 30s.,ニキー、ダメだ 敵が攻めて来た
Still man's gotta make his living.,だけど 生きていくには 稼がないと
I'll call 911.,911を呼ぶわ
She's in my head.,彼女は私の頭の中です。
Hey.,おい おい
Thank you.,あぁ
I'm not receiving you. Over.,応答せよ
Laminate the stasis,♪ラミネートで封鎖
Teenagers. I hate questioning teenagers.,ティーンエイジャーか 俺は　あいつらに質問するのは嫌いだな
Listen!,聞いてください！
"Yeah, but it's not just about Rebekah.",ええ でも ただレベッカだけじゃなくて
"All of it. You were right, Mr. Keller.",あなたは正しかった
Incident?,事件 ？
What is it?,それなに？
Why don't you try it?,どうして努力しない?
- He was your friend.,- 友達なんでしょ？
Do whatever it takes.,必要なことは何だってやって
"Right, okay.",そうね　分かった
Get used to it. It's just a matter of time.,殺されるんだ　みんな
"Spock, stop!",やめて！
Myriad will destroy the House of El and the memory of Krypton will be lost forever.,ミリアドがエル家を滅ぼす、 クリプトン星の記憶は、 永遠に失われる。
Your awards presentation.,全国科学者賞の プレゼンテーションの時
All right. So where's my money?,それで 俺の金はどこだ
Nice. You all right? That was a little close.,いいぞ もう取得したな
- Among the first.,- 子供の頃―
All mine?,悪いねぇ
"(GROWLS) All right, pooch.",いいだろう　ポチよ
"Yeah, I'm so sorry, Captain. Eh!",すみません 警部
They're not responsible.,責任が無いのよ
Do you read me? !,- 聞こえるか？
"Oh, my God! Oh, my God!",なんてことなの！
You see that lass over there?,あすこにいる女が見えるか？
"No, dumb-ass, about me joining.",違うよ アホか 俺が申し込んだって事をだよ
"In fact,uh... W--never mind.",実は・・・いや　何でもない
I would like to ask you some questions concerning your whereabouts last night?,私は昨日の夜、あなたの居場所に関するいくつかの質問をお願いしたいと思います。
"Anyway, his boss is pressuring him",彼の上司は無視するよう圧力をかけて
Kick 'em away.,蹴るんだ
Want to see my carrots?,私のニンジン、見たい？
Why would you ask that?,なぜ聞く？
_,面白いわ
"Get to bed, Una.",寝なさい　ウナ
Where's Sister Jude?,シスター　ジュードはどこ？
And it's been...,それがあって...
You don't understand.,拷問はダメだ あなたは知らないけど
Ish.,- っぽい
"Maybe you're right, but I'm not sure.",本当はあなたの方が正しいのかもしれないし
"""Do not watch the drama."" [chortles]","〈""のめり込むな""〉"
That's a pretty nice pot of gold.,かなりの大金ね。
"Form ranks, you maggots. Form ranks!",隊伍を組め ウジ虫ども 隊伍を組め！
"Would you mind very much taking the follow car, and I'll head on over to the chairman's office.","あなたは大変気になりますか 追従車を取る, 私は上に向かうだろう 議長のオフィスに。"
- Nick is doing everything he can.,ニックが 全力を尽くしています
Three or four.,３、４台かな
Paragraph 4.,四項 被告を犯してはならない
C'mon you know.,さあ　分かってるだろ
"She said, ""D. Gibbons is a bad man.""",｢D. ギボンズって悪い奴なのよ｣ って言ったんだ
Out of danger.,危機を脱しました
I didn't tell her about us yet.,まだ話してないのよ
Twenty.,20。
It's a vampire's instinct to condescend to Lycans... but they're not afraid to evolve.,ヴァンパイアは本能的に ライカンを無視するが 彼らは進化すること 恐れていない
- I don't know. - What don't you know? I don't know if it all adds up.,さあな 何か変なんだ
